person_key,drown,prob_avg,prob_std,prob_min,prob_max,prob_range,prob_slope
68_person_476,0,0.9998191,0.000142634,0.99967647,0.99996173,0.000285268,0.000839023
68_person_179,0,0.99676,0.001737714,0.9950223,0.9984977,0.003475428,0.004187262
68_person_144,0,0.9915986,0.008275479,0.98332316,0.9998741,0.016550958,-0.025077209
43_person_367,0,0.9840731,0.01582247,0.96825063,0.9998956,0.03164494,0.095893759
21_person_37,0,0.95419836,0.044380307,0.90981805,0.99857867,0.088760614,-0.132478529
60_person_211(drown),1,0.9511456,0.1594657,0.23370707,0.9998888,0.7661817,-0.014027746
70_person_227(drown),1,0.95044905,0.16696261,0.06584368,0.9999877,0.934144,-0.007578996
11_person_335(drown),1,0.94229746,0.15086088,0.16658528,0.99996114,0.8333759,-0.007938489
70_person_138(drown),1,0.9299968,0.17613478,0.04185735,0.99996805,0.9581107,0.005870194
43_person_5,0,0.91909313,0.016985744,0.90210736,0.93607885,0.03397149,0.067942977
15_person_714,0,0.91234934,0.07202223,0.84032714,0.9843716,0.14404446,-0.43649836
51_person_12,0,0.8833983,0.11454917,0.70227057,0.99675626,0.2944857,0.017319854
43_person_399,0,0.8817998,0.09041321,0.7913866,0.97221303,0.18082643,-0.273979433
44_person_151(drown),1,0.8650931,0.30261075,0.010203201,0.99973613,0.98953295,-0.091458512
51_person_85,0,0.8547394,0.1443091,0.7104303,0.99904853,0.2886182,-0.343593104
28_person_491(drown),1,0.8249172,0.32773843,0.000121886,0.9999654,0.99984354,-0.062987624
21_person_264,0,0.8231579,0.13287184,0.69028604,0.9560297,0.26574367,0.16008655
21_person_35,0,0.8229389,0.15233219,0.67060673,0.9752711,0.30466437,-0.114106507
54_person_500(drown),1,0.79612327,0.34014392,6.08E-08,0.9999907,0.99999064,0.125923528
54_person_600(drown),1,0.79466414,0.3670312,5.24E-05,0.99998915,0.9999368,-0.000282956
22_person_105,0,0.78172207,0.18887508,0.592847,0.97059715,0.37775016,-0.113438486
15_person_719(drown),1,0.7483829,0.30260396,0.112528734,0.9999162,0.88738745,-0.303116298
15_person_765(drown),1,0.7479214,0.39980632,0.000348311,0.999777,0.9994287,-0.087632629
11_person_397(drown),1,0.7473649,0.3706235,0.001359692,0.99996936,0.99860966,-0.001412048
43_person_988,0,0.74442947,0.16956061,0.57486886,0.9139901,0.33912122,-0.403715741
63_person_74(drown),1,0.742415,0.39315447,8.06E-05,0.9999939,0.9999133,0.025654431
60_person_7,0,0.7404135,0.41614857,0.020067614,0.99641126,0.97634363,0.226050274
22_person_78(drown),1,0.728837,0.36173454,0.000128113,0.99904567,0.9989176,0.002371108
21_person_365(drown),1,0.7287728,0.40118513,6.82E-05,0.99995077,0.9998825,-0.008794745
15_person_654(drown),1,0.7070077,0.35026938,0.013389221,0.9998497,0.98646045,0.19701179
54_person_985,0,0.69089955,0.003081441,0.6878181,0.693981,0.006162882,0.001760823
43_person_465,0,0.6779403,0.29245102,0.38548928,0.97039133,0.58490205,-3.440600283
15_person_781,0,0.6574459,0.32504532,0.33240056,0.9824912,0.65009063,-0.560422961
66_person_4,0,0.6458618,0.3305079,0.18044965,0.91594267,0.735493,0.146266492
15_person_28,0,0.62592196,0.06189534,0.56402665,0.68781734,0.12379068,0.364090239
70_person_199,0,0.59599483,0.40273994,0.19325487,0.9987348,0.8054799,2.440848179
43_person_347,0,0.5942702,0.35832924,0.23594101,0.95259947,0.7166585,2.107818994
43_person_244,0,0.588979,0.2796894,0.30928963,0.86866844,0.5593788,-3.290463546
54_person_56,0,0.58606505,0.40847647,0.008414681,0.8793154,0.8709007,0.1552019
15_person_568,0,0.58554876,0.27111733,0.31443143,0.8566661,0.54223466,3.38896662
11_person_12,0,0.58368015,0.33121166,0.25246847,0.9148918,0.6624233,-0.988691511
21_person_270,0,0.5674108,0.37024462,0.19716623,0.93765545,0.74048924,-0.556758808
15_person_837,0,0.5670391,0.463533,5.11E-07,0.9986432,0.9986427,0.117929819
11_person_275(drown),1,0.5647889,0.42128932,0.000172806,0.9996885,0.9995157,0.179731604
11_person_23,0,0.56344044,0.3964528,0.16698766,0.9598933,0.7929056,-0.943935272
15_person_609(drown),1,0.55815464,0.32739612,0.049457844,0.9550926,0.90563476,0.48863893
15_person_287,0,0.53598857,0.222228,0.31376055,0.75821656,0.444456,-0.888912022
51_person_139(drown),1,0.53567004,0.38207194,0.003857115,0.9968817,0.9930246,-1.544009577
43_person_998(drown),1,0.53439224,0.417102,0.038584325,0.9988086,0.9602243,1.652815354
43_person_331,0,0.5283323,0.46768993,0.006428076,0.9999341,0.993506,-0.002400614
53_person_124(drown),1,0.5272479,0.43063205,1.23E-05,0.9995291,0.9995168,-0.149584218
51_person_507,0,0.5170876,0.35553983,2.68E-07,0.99964964,0.99964935,-0.118087116
21_person_214(drown),1,0.51331496,0.45174232,1.59E-06,0.9999231,0.9999215,0.010012127
70_person_625,0,0.5120409,0.055838645,0.45620227,0.56787956,0.11167729,0.051702449
11_person_30,0,0.5057894,0.13769156,0.36809784,0.64348096,0.2753831,-0.417247144
6_person_107(drown),1,0.5024692,0.4395448,3.12E-06,0.9995523,0.9995492,-0.038736061
54_person_1090,0,0.49828255,0.49593273,0.002349821,0.9942153,0.9918655,6.199159304
54_person_659,0,0.49197575,0.4914059,0.000569865,0.9833816,0.98281175,-0.655207843
43_person_487,0,0.48730326,0.47153068,0.015772572,0.95883393,0.94306135,-1.886122722
11_person_62,0,0.48501936,0.48465878,0.000360574,0.96967816,0.9693176,1.167852517
43_person_67,0,0.48392355,0.3519794,1.78E-06,0.82687473,0.82687294,-0.063779568
21_person_2,0,0.48133686,0.4814594,2.30E-08,0.9780688,0.9780688,-0.083930286
15_person_7,0,0.47559994,0.27103755,0.2045624,0.74663746,0.54207504,0.542075068
63_person_58,0,0.47537044,0.47534463,2.58E-05,0.95071507,0.95068926,0.71480393
43_person_974,0,0.4724395,0.28698066,0.18545882,0.75942016,0.5739613,-1.739276765
43_person_1031,0,0.4714543,0.47142747,2.68E-05,0.94288176,0.94285494,0.805858917
60_person_370,0,0.46793187,0.4172796,0.050652247,0.88521147,0.8345592,0.278186407
51_person_527,0,0.4674417,0.467396,4.57E-05,0.9348377,0.934792,-0.510815291
43_person_511,0,0.46505088,0.41316408,0.051886782,0.87821496,0.82632816,-2.504024768
15_person_937,0,0.46315685,0.3354318,0.00497334,0.9997582,0.99478483,-0.052880024
66_person_177,0,0.4614451,0.3815263,0.0791869,0.9823506,0.9031637,0.251131223
6_person_645,0,0.46124655,0.46124393,2.62E-06,0.9224905,0.92248785,0.504091723
68_person_11(drown),1,0.459686,0.4618134,0.000171082,0.99997413,0.99980307,0.188276055
54_person_451,0,0.45139432,0.4483834,0.008499255,0.99491394,0.9864147,-0.201494415
70_person_709,0,0.44245496,0.4407376,0.001717362,0.88319254,0.88147515,0.657817296
15_person_79,0,0.43613088,0.43233722,0.002010936,0.9975314,0.9955205,-0.017548032
54_person_222,0,0.4241895,0.40002996,0.02415954,0.82421947,0.8000599,0.533373284
43_person_1005,0,0.4236003,0.42356256,3.77E-05,0.84716284,0.8471251,1.26436587
43_person_46,0,0.41730443,0.41719747,0.000106973,0.83450186,0.8343949,0.55626326
54_person_8,0,0.413824,0.413824,1.49E-08,0.827648,0.827648,-0.495597586
15_person_671,0,0.40286133,0.40257624,0.000285099,0.80543756,0.8051525,2.368095487
43_person_261,0,0.39908266,0.40071014,0.000118247,0.85117865,0.8510604,-0.020090225
54_person_236,0,0.39686596,0.45071208,2.70E-08,0.9980122,0.9980122,-0.011776719
21_person_319,0,0.39293018,0.39290455,2.56E-05,0.7858347,0.7858091,-0.392904541
66_person_204,0,0.39064762,0.38881508,0.000178156,0.9934602,0.993282,0.000684027
66_person_207,0,0.3886498,0.40531203,0.002181398,0.996209,0.9940276,0.044699807
6_person_92,0,0.38694486,0.38337293,0.003571946,0.7703178,0.76674587,4.510269687
11_person_80,0,0.38612533,0.45980096,1.38E-05,0.9998336,0.99981976,0.068349808
66_person_393,0,0.38569322,0.2468309,0.000558133,0.6863584,0.68580025,-0.003382214
15_person_168,0,0.37962604,0.24647824,0.1331478,0.6261043,0.4929565,0.985912979
15_person_250,0,0.37627268,0.37627202,6.37E-07,0.7525447,0.75254405,2.213364895
15_person_558(drown),1,0.37543556,0.41769478,1.45E-07,0.99641716,0.99641705,0.266944613
43_person_341,0,0.36793935,0.34912705,0.018812329,0.7170664,0.6982541,0.841269974
6_person_145,0,0.36774117,0.3667984,0.000942763,0.73453957,0.7335968,0.551576546
70_person_619,0,0.3660305,0.14697479,0.21905574,0.5130053,0.29394957,0.890756286
15_person_601,0,0.36594138,0.34894082,4.96E-05,0.8356484,0.8355988,0.166814276
43_person_268,0,0.36571613,0.4459388,0.004668017,0.9940408,0.9893728,-0.154711726
66_person_752,0,0.3637674,0.36375082,1.66E-05,0.7275182,0.72750163,0.621796254
66_person_234,0,0.36336294,0.3893521,2.78E-05,0.99810505,0.9980772,-0.008680766
66_person_549,0,0.34100083,0.33071145,0.000890698,0.96542346,0.9645328,-0.006117174
54_person_733,0,0.3394539,0.4038855,0.00018187,0.9997422,0.99956036,0.064299767
43_person_131,0,0.33799064,0.33799046,1.63E-07,0.6759811,0.6759809,0.33799047
66_person_724,0,0.33782718,0.45000297,9.37E-08,0.99967897,0.99967885,-0.073242885
66_person_955,0,0.33287716,0.47075865,1.13E-07,0.9986304,0.9986303,0.070800799
66_person_5,0,0.32422125,0.32056114,0.000444026,0.90669227,0.9062482,-0.01317851
68_person_181,0,0.3238851,0.35463828,3.20E-06,0.85209554,0.8520923,-0.185383478
43_person_926,0,0.31334263,0.31333137,1.13E-05,0.626674,0.62666273,0.471174996
21_person_309,0,0.30979162,0.12502891,0.1847627,0.43482053,0.25005782,-0.186610322
11_person_272,0,0.30621693,0.30597523,0.000241718,0.61219215,0.61195046,-0.46011311
68_person_113,0,0.3062106,0.4380772,2.77E-08,0.9999542,0.9999542,-0.027836234
66_person_188,0,0.30394265,0.427602,9.28E-05,0.90866077,0.908568,-0.123332867
66_person_455,0,0.3036606,0.42872897,0.000352821,0.9099749,0.9096221,-0.417218871
15_person_739,0,0.2968194,0.08155517,0.2152642,0.37837455,0.16311035,-0.163110346
43_person_401,0,0.29443702,0.2880223,0.006414713,0.58245933,0.5760446,1.694248874
60_person_23,0,0.29404178,0.2938155,0.000226299,0.58785725,0.5876309,-1.175261895
15_person_223,0,0.2922945,0.29080683,0.001487663,0.58310133,0.58161366,0.700739361
15_person_452(drown),1,0.28883326,0.3994796,3.35E-06,0.9986014,0.99859804,0.034591251
43_person_134,0,0.2788323,0.4333825,3.65E-05,0.9877792,0.98774266,-0.039526081
43_person_931,0,0.2754489,0.3931634,2.89E-05,0.92160934,0.92158043,0.012291046
70_person_597,0,0.27442014,0.42949116,3.96E-06,0.9932286,0.9932247,0.041245631
51_person_452,0,0.27064425,0.2706391,5.14E-06,0.54128337,0.54127824,0.295780452
66_person_486,0,0.26887232,0.38845718,2.75E-06,0.97657996,0.9765772,0.041268206
66_person_102,0,0.267992,0.37574276,0.000264074,0.79936725,0.7991032,-0.123968346
15_person_97,0,0.26584142,0.3801946,3.87E-06,0.99989283,0.99988896,-0.002749224
28_person_531,0,0.26314983,0.2631472,2.61E-06,0.52629703,0.5262944,0.224912144
6_person_463,0,0.2619095,0.37008217,1.64E-05,0.7852847,0.7852683,0.20700513
43_person_430,0,0.2555641,0.25553167,3.24E-05,0.51109576,0.51106334,0.279269579
11_person_16,0,0.25376213,0.38668606,9.90E-05,0.9795034,0.9794044,-0.019819247
43_person_838(drown),1,0.2537114,0.40464002,9.23E-07,0.99910176,0.99910086,0.024368711
66_person_437,0,0.2509237,0.34565103,2.53E-05,0.98943514,0.98940986,0.003692216
43_person_68,0,0.24482737,0.24245739,0.002369986,0.48728475,0.48491475,0.193965906
54_person_390,0,0.24467036,0.41414237,1.51E-07,0.99874437,0.9987442,0.051654601
15_person_194,0,0.24059317,0.23663703,0.003956129,0.4772302,0.47327405,-0.946548124
63_person_233,0,0.23739006,0.20715846,0.016331807,0.51441807,0.49808627,-0.195298466
